2017-12-26T12:09:08.842+0900 I REPL     [repl writer worker 0] CollectionCloner ns:config.transactions finished cloning with status: OK
2017-12-26T12:09:08.848+0900 I REPL     [repl writer worker 0] Finished cloning data: OK. Beginning oplog replay.
2017-12-26T12:09:08.849+0900 I REPL     [replication-1] No need to apply operations. (currently at { : Timestamp(1514257747, 1) })
2017-12-26T12:09:08.850+0900 I COMMAND  [replication-0] Assigning UUID ed7df6f9-399f-4c6a-b108-1419cd942fa0 to collection local.system.rollback.id
2017-12-26T12:09:08.850+0900 I COMMAND  [replication-0] Assigning UUID 2085714f-8e1d-4026-9160-f40526f78b7c to collection local.temp_oplog_buffer
2017-12-26T12:09:08.850+0900 I COMMAND  [replication-0] Assigning UUID 68b288be-f849-403b-b260-365b2948714f to collection local.system.replset
2017-12-26T12:09:08.850+0900 I COMMAND  [replication-0] Assigning UUID 196bc823-3346-4139-a8e5-cd4388cd6d4d to collection local.me
2017-12-26T12:09:08.850+0900 I COMMAND  [replication-0] Assigning UUID daa6e4c6-1b14-402f-9310-93424b55f316 to collection local.startup_log
2017-12-26T12:09:08.850+0900 I COMMAND  [replication-0] Assigning UUID 517a09cb-6978-4dd7-8e8e-cb759bcb7c4b to collection local.replset.minvalid
2017-12-26T12:09:08.850+0900 I COMMAND  [replication-0] Assigning UUID a5c3a33b-8802-4272-ae09-df05bbca5029 to collection local.oplog.rs
2017-12-26T12:09:08.851+0900 I ASIO     [NetworkInterfaceASIO-RS-0] Ending connection to host minschomongo02:27017 due to bad connection status; 1 connections to that host remain open
2017-12-26T12:09:08.851+0900 I REPL     [replication-1] Finished fetching oplog during initial sync: CallbackCanceled: error in fetcher batch callback: oplog fetcher is shutting down. Last fetched optime and hash: { ts: Timestamp(0, 0), t: -1 }[0]
2017-12-26T12:09:08.851+0900 I REPL     [replication-1] Initial sync attempt finishing up.
